FIT Profiler Report
Profile stats for: records
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                        aten::ones_like         0.00%      14.000us         0.01%     164.000us      54.667us       0.000us         0.00%       3.000us       1.000us             3  
                                           AddBackward0         0.01%     162.000us         0.01%     162.000us       1.019us       0.000us         0.00%       0.000us       0.000us           159  
                                              TBackward         0.00%      33.000us         0.00%     158.000us      13.167us       0.000us         0.00%       0.000us       0.000us            12  
                               cudaEventCreateWithFlags         0.00%     131.000us         0.00%     131.000us       0.916us       0.000us         0.00%       0.000us       0.000us           143  
                                       cudaEventDestroy         0.00%     111.000us         0.00%     111.000us       0.776us       0.000us         0.00%       0.000us       0.000us           143  
                                 cudaDeviceGetAttribute         0.00%     101.000us         0.00%     101.000us       0.058us       0.000us         0.00%       0.000us       0.000us          1756  
                                            aten::floor         0.00%      51.000us         0.00%      88.000us      29.333us       3.000us         0.00%       3.000us       1.000us             3  
                                         cudaEventQuery         0.00%      87.000us         0.00%      87.000us       1.403us       0.000us         0.00%       0.000us       0.000us            62  
                                             aten::log2         0.00%      50.000us         0.00%      86.000us      28.667us       3.000us         0.00%       3.000us       1.000us             3  
                                    cudaPeekAtLastError         0.00%      78.000us         0.00%      78.000us       0.021us       0.000us         0.00%       0.000us       0.000us          3663  
                                             aten::conj         0.00%      74.000us         0.00%      74.000us       0.548us       0.000us         0.00%       0.000us       0.000us           135  
                                   cudaEventSynchronize         0.00%      37.000us         0.00%      37.000us       2.467us       0.000us         0.00%       0.000us       0.000us            15  
                                  cudaDeviceSynchronize         0.00%      31.000us         0.00%      31.000us      31.000us       0.000us         0.00%       0.000us       0.000us             1  
                                   cudaEventElapsedTime         0.00%      21.000us         0.00%      21.000us       1.750us       0.000us         0.00%       0.000us       0.000us            12  
                                      aten::as_strided_         0.00%      19.000us         0.00%      19.000us       1.583us       0.000us         0.00%       0.000us       0.000us            12  
                                           SubBackward0         0.00%      14.000us         0.00%      14.000us       0.778us       0.000us         0.00%       0.000us       0.000us            18  
                                          CloneBackward         0.00%      11.000us         0.00%      11.000us       0.367us       0.000us         0.00%       0.000us       0.000us            30  
                                  cudaStreamIsCapturing         0.00%       5.000us         0.00%       5.000us       1.250us       0.000us         0.00%       0.000us       0.000us             4  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.953ms         0.32%       2.953ms       6.256us           472  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       5.682ms         0.61%       5.682ms       2.591us          2193  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      46.762ms         5.06%      46.762ms      32.541us          1437  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.762ms         0.19%       1.762ms       3.741us           471  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.410ms         0.15%       1.410ms       2.975us           474  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.257ms         0.14%       1.257ms       2.602us           483  
                       Memcpy DtoH (Device -> Pageable)         0.00%       0.000us         0.00%       0.000us       0.000us      17.721ms         1.92%      17.721ms       7.820us          2266  
                       Memcpy HtoD (Pageable -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us      24.563ms         2.66%      24.563ms     120.407us           204  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us     127.000us         0.01%     127.000us       4.233us            30  
